trap_id,start_date,end_date,ntrapped
14,2014-06-12,2014-06-14,0
19,2014-06-12,2014-06-14,1
18,2014-06-12,2014-06-14,4
23,2014-06-12,2014-06-14,1
27,2014-06-12,2014-06-14,0
28,2014-06-12,2014-06-14,3
24,2014-06-12,2014-06-14,1
20,2014-06-12,2014-06-14,0
25,2014-06-12,2014-06-14,1
29,2014-06-12,2014-06-14,2
30,2014-06-12,2014-06-14,3
31,2014-06-12,2014-06-14,2
26,2014-06-12,2014-06-14,1
22,2014-06-12,2014-06-14,1
21,2014-06-12,2014-06-14,1
16,2014-06-12,2014-06-14,1
15,2014-06-12,2014-06-14,1
9,2014-06-12,2014-06-14,2
4,2014-06-12,2014-06-14,0
1,2014-06-12,2014-06-14,0
2,2014-06-12,2014-06-14,0
5,2014-06-12,2014-06-14,1
6,2014-06-12,2014-06-14,0
7,2014-06-12,2014-06-14,1
3,2014-06-12,2014-06-14,1
8,2014-06-12,2014-06-14,1
13,2014-06-12,2014-06-14,0
17,2014-06-12,2014-06-14,0
12,2014-06-12,2014-06-14,1
11,2014-06-12,2014-06-14,2
10,2014-06-13,2014-06-15,0
14,2014-06-13,2014-06-15,0
19,2014-06-13,2014-06-15,0
18,2014-06-13,2014-06-15,0
23,2014-06-13,2014-06-15,0
27,2014-06-13,2014-06-15,0
28,2014-06-13,2014-06-15,1
24,2014-06-13,2014-06-15,0
20,2014-06-13,2014-06-15,0
25,2014-06-13,2014-06-15,0
29,2014-06-13,2014-06-15,1
30,2014-06-13,2014-06-15,0
31,2014-06-13,2014-06-15,0
26,2014-06-13,2014-06-15,0
22,2014-06-13,2014-06-15,0
21,2014-06-13,2014-06-15,0
16,2014-06-13,2014-06-15,0
15,2014-06-13,2014-06-15,1
9,2014-06-13,2014-06-15,0
4,2014-06-13,2014-06-15,0
1,2014-06-13,2014-06-15,0
2,2014-06-13,2014-06-15,0
5,2014-06-13,2014-06-15,0
6,2014-06-13,2014-06-15,0
7,2014-06-13,2014-06-15,0
3,2014-06-13,2014-06-15,1
8,2014-06-13,2014-06-15,0
13,2014-06-13,2014-06-15,0
17,2014-06-13,2014-06-15,0
12,2014-06-13,2014-06-15,1
11,2014-06-13,2014-06-15,0
10,2014-06-15,2014-06-17,0
14,2014-06-15,2014-06-17,1
19,2014-06-15,2014-06-17,0
18,2014-06-15,2014-06-17,1
23,2014-06-15,2014-06-17,0
27,2014-06-15,2014-06-17,0
28,2014-06-15,2014-06-17,0
24,2014-06-15,2014-06-17,0
20,2014-06-15,2014-06-17,0
25,2014-06-15,2014-06-17,0
29,2014-06-15,2014-06-17,2
30,2014-06-15,2014-06-17,0
31,2014-06-15,2014-06-17,0
26,2014-06-15,2014-06-17,2
22,2014-06-15,2014-06-17,0
21,2014-06-15,2014-06-17,0
16,2014-06-15,2014-06-17,0
15,2014-06-15,2014-06-17,0
9,2014-06-15,2014-06-17,1
4,2014-06-15,2014-06-17,0
1,2014-06-15,2014-06-17,0
2,2014-06-15,2014-06-17,0
